Year,Annual Inflation,Cost of Item,Price Multiplier (2019 Reference Year),Price in 2019 Dollars
1956,1.5, $1.00 ,9.393400696, $9.39 
1957,3.3, $1.03 ,9.0933211, $9.39 
1958,2.7, $1.06 ,8.854256183, $9.39 
1959,1, $1.07 ,8.76659028, $9.39 
1960,1.5, $1.09 ,8.637034758, $9.39 
1961,1.1, $1.10 ,8.543061086, $9.39 
1962,1.2, $1.11 ,8.441759967, $9.39 
1963,1.2, $1.13 ,8.341660046, $9.39 
1964,1.3, $1.14 ,8.234610115, $9.39 
1965,1.6, $1.16 ,8.104931215, $9.39 
1966,3, $1.19 ,7.868865258, $9.39 
1967,2.8, $1.23 ,7.654538188, $9.39 
1968,4.3, $1.28 ,7.338962788, $9.39 
1969,5.5, $1.35 ,6.956362833, $9.39 
1970,5.8, $1.43 ,6.575012129, $9.39 
1971,4.3, $1.49 ,6.303942597, $9.39 
1972,3.3, $1.54 ,6.102558178, $9.39 
1973,6.2, $1.63 ,5.746288303, $9.39 
1974,11.1, $1.82 ,5.17217669, $9.39 
1975,9.1, $1.98 ,4.740766902, $9.39 
1976,5.7, $2.09 ,4.485115328, $9.39 
1977,6.5, $2.23 ,4.211375895, $9.39 
1978,7.6, $2.40 ,3.913918118, $9.39 
1979,11.3, $2.67 ,3.516548175, $9.39 
1980,13.5, $3.03 ,3.09828033, $9.39 
1981,10.3, $3.34 ,2.808957688, $9.39 
1982,6.1, $3.55 ,2.647462477, $9.39 
1983,3.2, $3.66 ,2.565370617, $9.39 
1984,4.3, $3.82 ,2.459607495, $9.39 
1985,3.5, $3.95 ,2.376432362, $9.39 
1986,1.9, $4.03 ,2.332122043, $9.39 
1987,3.7, $4.18 ,2.248912289, $9.39 
1988,4.1, $4.35 ,2.160338414, $9.39 
1989,4.8, $4.56 ,2.061391616, $9.39 
1990,5.4, $4.80 ,1.955779522, $9.39 
1991,4.2, $5.00 ,1.876947718, $9.39 
1992,3, $5.15 ,1.822279338, $9.39 
1993,3, $5.31 ,1.769203241, $9.39 
1994,2.6, $5.45 ,1.72436963, $9.39 
1995,2.8, $5.60 ,1.677402364, $9.39 
1996,2.9, $5.76 ,1.630128634, $9.39 
1997,2.3, $5.89 ,1.593478625, $9.39 
1998,1.6, $5.99 ,1.568384474, $9.39 
1999,2.2, $6.12 ,1.534622773, $9.39 
2000,3.4, $6.33 ,1.484161289, $9.39 
2001,2.8, $6.51 ,1.443736662, $9.39 
2002,1.6, $6.61 ,1.421000652, $9.39 
2003,2.3, $6.76 ,1.389052446, $9.39 
2004,2.7, $6.95 ,1.352534027, $9.39 
2005,3.4, $7.18 ,1.308059987, $9.39 
2006,3.2, $7.41 ,1.267499988, $9.39 
2007,2.9, $7.63 ,1.231778414, $9.39 
2008,3.8, $7.92 ,1.186684406, $9.39 
2009,-0.4, $7.88 ,1.191450207, $9.39 
2010,1.6, $8.01 ,1.172687212, $9.39 
2011,3.2, $8.27 ,1.136324818, $9.39 
2012,2.1, $8.44 ,1.112952809, $9.39 
2013,1.5, $8.57 ,1.09650523, $9.39 
2014,1.6, $8.70 ,1.079237431, $9.39 
2015,0.1, $8.71 ,1.078159272, $9.39 
2016,1.3, $8.83 ,1.064323072, $9.39 
2017,2.1, $9.01 ,1.042432, $9.39 
2018,2.4, $9.23 ,1.018, $9.39 
2019,1.8, $9.39 ,1, $9.39 
