Zip_Code,Average Household Taxable Income
98001,72549 
98002,47883 
98003,56650 
98004,327057 
98005,167210 
98006,179307 
98007,102282 
98008,142707 
98010,112295 
98011,102315 
98012,101767 
98014,124763 
98019,116436 
98020,144285 
98021,112564 
98022,81576 
98023,69666 
98024,133410 
98026,89712 
98027,142374 
98028,109617 
98029,152237 
98030,56320 
98031,62366 
98032,57070 
98033,213521 
98034,108601 
98036,73176 
98037,67699 
98038,105388 
98039,881945 
98040,323692 
98042,82271 
98043,62257 
98045,114634 
98047,53493 
98051,111739 
98052,155931 
98053,194481 
98055,65643 
98056,89168 
98057,65632 
98058,79285 
98059,109730 
98065,150041 
98070,113016 
98072,148028 
98074,216228 
98075,227477 
98077,194943 
98087,65382 
98092,78723 
98101,209383 
98102,129408 
98103,117652 
98104,127180 
98105,145474 
98106,67179 
98107,108260 
98108,66028 
98109,141902 
98110,181450 
98112,271514 
98115,134860 
98116,130160 
98117,125978 
98118,76109 
98119,159901 
98121,166194 
98122,103319 
98125,82142 
98126,93972 
98133,70987 
98134,241147 
98136,141978 
98144,104230 
98146,73901 
98148,59295 
98155,91606 
98164,231975 
98166,96929 
98168,51313 
98177,166240 
98178,62642 
98188,52280 
98198,65362 
98199,173671 
98201,59255 
98203,70453 
98204,48000 
98208,73036 
98220,57942 
98221,96557 
98223,72856 
98225,61223 
98226,70657 
98229,79198 
98230,75774 
98232,99357 
98233,60496 
98236,88284 
98237,51392 
98239,80932 
98240,68191 
98241,50795 
98244,56047 
98245,94518 
98247,62175 
98248,66303 
98249,99562 
98250,121725 
98251,54429 
98252,67815 
98253,90065 
98257,78022 
98258,79696 
98260,90704 
98261,89196 
98262,74819 
98264,72122 
98266,43925 
98267,43168 
98270,63424 
98271,61895 
98272,80467 
98273,61554 
98274,72100 
98275,110752 
98276,56950 
98277,59598 
98279,98003 
98281,87549 
98282,86686 
98283,55094 
98284,58113 
98290,92695 
98292,84539 
98294,59779 
98295,56485 
98296,122476 
98303,70839 
98304,50677 
98305,52512 
98310,53474 
98311,62907 
98312,61473 
98315,39644 
98320,59944 
98321,82704 
98323,62211 
98325,57988 
98326,49609 
98327,73269 
98328,69622 
98329,77197 
98330,50250 
98331,50813 
98332,128375 
98333,148202 
98335,118751 
98336,47036 
98337,48524 
98338,69065 
98339,58457 
98340,92887 
98342,83639 
98346,79383 
98349,63950 
98351,72722 
98354,68824 
98355,54181 
98356,56485 
98358,93967 
98359,75690 
98360,71118 
98361,59150 
98362,60385 
98363,57231 
98365,96243 
98366,62308 
98367,72132 
98368,72302 
98370,81627 
98371,76374 
98372,74535 
98373,68560 
98374,74220 
98375,64961 
98376,70594 
98377,46929 
98380,91649 
98381,58186 
98382,68253 
98383,73167 
98387,55794 
98388,82363 
98390,71514 
98391,89104 
98392,62581 
98394,80970 
98402,73666 
98403,89027 
98404,43299 
98405,48876 
98406,77426 
98407,94548 
98408,48035 
98409,43667 
98418,46785 
98422,96885 
98424,68060 
98433,36244 
98438,29855 
98439,36215 
98443,73572 
98444,41577 
98445,52814 
98446,64653 
98465,67119 
98466,71607 
98467,77827 
98498,68471 
98499,53727 
98501,77063 
98502,80277 
98503,55534 
98506,70506 
98512,69113 
98513,64883 
98516,77206 
98520,51541 
98524,72521 
98526,35127 
98528,65067 
98531,48180 
98532,63413 
98533,55908 
98535,42173 
98537,52135 
98538,57114 
98541,54294 
98542,51004 
98546,76199 
98547,49844 
98548,56393 
98550,46393 
98552,35400 
98555,60750 
98557,55727 
98560,39885 
98563,63964 
98564,58417 
98568,48178 
98569,55366 
98570,56550 
98572,51415 
98576,59599 
98577,51764 
98579,58327 
98580,71199 
98581,39418 
98582,60886 
98584,55282 
98585,62224 
98586,52065 
98588,61245 
98589,63928 
98590,57950 
98591,57330 
98592,72160 
98593,47824 
98595,50366 
98596,54240 
98597,56267 
98601,70393 
98603,60450 
98604,78583 
98605,53078 
98606,102487 
98607,132919 
98610,62095 
98611,62627 
98612,61162 
98613,54789 
98616,64731 
98619,55960 
98620,52060 
98624,57926 
98625,79157 
98626,53646 
98628,38590 
98629,81129 
98631,57395 
98632,56671 
98635,64126 
98638,55143 
98640,49989 
98642,122818 
98643,47328 
